customer_id,email,phone_number,f_name,l_name,birthday,gender
9790056,rebeccaward@example.com,2018550586,Michael,George,2010-09-11,F
970021,kimsusan@example.org,295-559-0420,Regina,Brennan,2000-11-08,F
773907,nicholebeltran@example.org,832.419.1097x64404,Kendra,Barnes,1992-11-20,F
276127,angela64@example.net,2994820021,Joshua,Thornton,2016-09-11,F
43910,billy81@example.net,5509300927,Kevin,Diaz,1972-07-01,M
7664309,fhenson@example.org,5965729113,Tracy,Harris,2005-04-24,F
9728867,nicolefarley@example.net,001-776-201-0788x95553,Devon,Deleon,1975-01-13,F
1407633,hwest@example.net,8668406852,Lisa,Johnson,1973-07-03,F
5203547,fjones@example.net,553-240-1551x93379,Eileen,Kennedy,2005-04-24,M
1215596,amber07@example.com,252-430-5073,Edward,Elliott,2000-01-15,M
4658207,hbrady@example.net,202-589-2746x7391,Jared,Parrish,2021-03-23,M
7253965,amanda78@example.net,001-628-655-8730x226,Heidi,Russell,1981-05-25,M
9407141,lewisnicole@example.com,981.990.8788x8996,Jorge,Jackson,2006-04-16,M
3190647,amypayne@example.net,+1-633-491-5591x88269,Teresa,Fisher,2016-03-19,M
3209263,ryan10@example.net,216.207.4410,Sally,Miller,2003-10-09,M
3478644,teresa19@example.com,553.981.6116,Eric,Rich,2003-05-28,F
1782614,jamesbest@example.org,(897)202-4609x47067,Roy,Porter,2008-09-30,F
7716116,kbrown@example.net,684.469.4841,Matthew,Keller,2008-04-03,M
7789132,barnesjessica@example.net,+1-501-511-6628,Lisa,Hall,2024-06-14,F
3308,stacey25@example.org,552.823.8763x473,Leslie,Little,2000-12-21,F
6398266,eturner@example.net,817-988-3950,Rachel,Gentry,2017-06-14,M
3253315,william37@example.net,001-519-864-8406x592,Michael,Fisher,1993-06-13,F
1836312,burgesscheryl@example.org,(465)801-3645,Michelle,Perez,1995-10-22,M
3912472,davisstephen@example.net,(810)258-8075,Robert,Adams,2017-08-19,F
7596594,jasonlopez@example.org,001-794-613-9765x271,Natalie,Jensen,2006-12-30,F
2031282,lscott@example.net,4246409696,George,Harris,2025-07-10,M
506819,dawnward@example.net,645-445-9482x252,David,Martin,2012-05-03,F
6915797,james57@example.com,+1-278-913-3521x91264,Jason,Pearson,1986-09-06,M
786843,conradtyler@example.net,001-496-897-5305,Heather,Tran,2000-02-01,M
6444146,jacksmith@example.com,712.355.3210,Kayla,Robinson,2007-07-30,M
9160460,zrobinson@example.com,622.808.8381,Bryan,Wright,1996-02-10,F
1819671,christina90@example.net,+1-665-267-6818,Brooke,Wilson,2019-10-17,M
3066120,janet35@example.com,423.557.9483,Luis,Contreras,2008-04-11,F
6780867,thomasmercer@example.org,001-318-811-8902,Jonathan,Lewis,2004-07-08,M
8085239,lindsey72@example.org,379.695.1099x6179,Zachary,Rivas,2024-01-30,M
1516214,anthonywilliams@example.net,(897)532-9471x6150,Michael,Perry,2017-01-21,M
512858,kylepowell@example.net,309.443.7750x429,Karen,Blake,2017-04-19,F
571217,hannahcarrillo@example.com,729.295.5379x8431,Jennifer,Dickerson,2012-08-14,F
